Rk,Player,Age,Team,Lg,WAR,AB,R,H,2B,3B,HR,RBI,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Player-additional
1,Francisco Lindor#,31,NYM,NL,5.8,644,117,172,35,0,31,86,131,0.267,0.346,0.466,0.811,129,0.359,128,300,*6/DH,lindofr01
2,Rafael Devers*,28,2TM,2LG,4,607,99,153,33,0,35,109,192,0.252,0.372,0.479,0.851,140,0.366,139,291,*D3/5H,deverra01
2,Rafael Devers*,28,BOS,AL,2.3,272,47,74,18,0,15,58,76,0.272,0.401,0.504,0.905,151,0.387,153,137,D,deverra01
2,Rafael Devers*,28,SFG,NL,1.8,335,52,79,15,0,20,51,116,0.236,0.347,0.46,0.807,130,0.349,127,154,D3/5H,deverra01
3,Shohei Ohtani*,30,LAD,NL,6.6,611,146,172,25,9,55,102,187,0.282,0.392,0.622,1.014,179,0.423,175,380,*D1,ohtansh01
4,Matt Olson*,31,ATL,NL,6.1,624,98,170,41,2,29,95,176,0.272,0.366,0.484,0.85,138,0.368,136,302,*3,olsonma02
5,Kyle Schwarber*,32,PHI,NL,4.7,604,111,145,23,2,56,132,197,0.24,0.365,0.563,0.928,150,0.396,149,340,*D/7,schwaky01
6,Geraldo Perdomo#,25,ARI,NL,7,597,98,173,33,5,20,100,83,0.29,0.389,0.462,0.851,136,0.382,139,276,*6/H,perdoge01
7,Juan Soto*,26,NYM,NL,6.2,577,120,152,20,1,43,105,137,0.263,0.396,0.525,0.921,160,0.41,163,303,*9/D,sotoju01
8,Julio Rodríguez,24,SEA,AL,6.8,652,106,174,31,4,32,95,152,0.267,0.324,0.474,0.798,128,0.353,133,309,*8/DH,rodriju01
9,Pete Alonso,30,NYM,NL,3.4,624,87,170,41,1,38,126,162,0.272,0.347,0.524,0.871,144,0.371,142,327,*3/D,alonspe01
10,Randy Arozarena,30,SEA,AL,3.9,613,95,146,32,1,27,76,191,0.238,0.334,0.426,0.76,119,0.341,124,261,*7/D,arozara01
11,Cal Raleigh#,28,SEA,AL,7.3,596,110,147,24,0,60,125,188,0.247,0.359,0.589,0.948,169,0.392,165,351,*2D/H,raleica01
12,Elly De La Cruz#,23,CIN,NL,3.6,629,102,166,31,7,22,86,181,0.264,0.336,0.44,0.777,109,0.342,104,277,*6/DH,delacel01
13,Brent Rooker,30,ATH,AL,2.3,626,92,164,40,3,30,89,155,0.262,0.335,0.479,0.814,123,0.353,125,300,*D9/7H,rookebr01
14,Jarren Duran*,28,BOS,AL,4.6,620,86,159,41,13,16,84,169,0.256,0.332,0.442,0.774,114,0.345,118,274,*78/H9D,duranja01
15,Heliot Ramos,25,SFG,NL,1.2,620,85,159,24,1,21,69,158,0.256,0.328,0.4,0.728,108,0.319,107,248,*7/DH,ramoshe02
16,Steven Kwan*,27,CLE,AL,3.7,625,81,170,29,1,11,56,60,0.272,0.33,0.374,0.705,96,0.312,94,234,*7/D8,kwanst01
17,Fernando Tatis Jr.,26,SDP,NL,5.9,594,111,159,27,2,25,71,129,0.268,0.368,0.446,0.814,125,0.368,129,265,*9/D,tatisfe02
18,James Wood*,22,WSN,NL,3.7,598,87,153,38,0,31,94,221,0.256,0.35,0.475,0.825,132,0.357,132,284,*7D/H,woodja03
19,Bobby Witt Jr.,25,KCR,AL,7.1,623,99,184,47,6,23,88,125,0.295,0.351,0.501,0.852,136,0.37,136,312,*6/D,wittbo02
20,Willy Adames,29,SFG,NL,3.6,591,94,133,22,2,30,87,179,0.225,0.318,0.421,0.74,111,0.326,110,249,*6/D,adamewi01
21,TJ Friedl*,29,CIN,NL,2.3,579,82,151,22,2,14,53,115,0.261,0.364,0.378,0.742,102,0.341,106,219,*8/DH,friedtj01
22,Vinnie Pasquantino*,27,KCR,AL,2.4,621,72,164,33,1,32,113,107,0.264,0.323,0.475,0.798,120,0.343,121,295,*3D,pasquvi01
23,Vladimir Guerrero Jr.,26,TOR,AL,4.5,589,96,172,34,0,23,84,94,0.292,0.381,0.467,0.848,133,0.365,133,275,*3D/H,guerrvl02
24,Aaron Judge,33,NYY,AL,9.7,541,137,179,30,2,53,114,160,0.331,0.457,0.688,1.144,215,0.461,212,372,9D/H,judgeaa01
25,Manny Machado,32,SDP,NL,4.1,615,91,169,33,0,27,95,131,0.275,0.335,0.46,0.795,118,0.346,115,283,*5D,machama01
26,Luis Arráez*,28,SDP,NL,1.3,620,66,181,30,4,8,61,21,0.292,0.327,0.392,0.719,99,0.318,97,243,*3D4/H,arraelu01
27,José Ramírez#,32,CLE,AL,5.8,593,103,168,34,3,30,85,74,0.283,0.36,0.503,0.863,137,0.372,134,298,*5D,ramirjo01
28,Ozzie Albies#,28,ATL,NL,2.1,603,74,145,23,2,16,74,94,0.24,0.306,0.365,0.671,89,0.307,92,220,*4,albieoz01
29,Maikel Garcia,25,KCR,AL,5.8,595,81,170,39,5,16,74,84,0.286,0.351,0.449,0.8,123,0.348,123,267,*564/8DH9,garcima01
30,Mookie Betts,32,LAD,NL,4.8,589,95,152,23,2,20,82,68,0.258,0.326,0.406,0.732,104,0.322,102,239,*6/H9,bettsmo01
31,Ian Happ#,30,CHC,NL,4,569,87,138,32,0,23,79,151,0.243,0.342,0.42,0.762,120,0.338,122,239,*7/DH,happia01
32,Taylor Ward,31,LAA,AL,2.7,579,86,132,31,2,36,103,175,0.228,0.317,0.475,0.792,116,0.342,117,275,*7/DH,wardta01
33,William Contreras,27,MIL,NL,3.9,566,89,147,28,0,17,76,120,0.26,0.355,0.399,0.754,111,0.342,117,226,*2D/37,contrwi02
34,Brice Turang*,25,MIL,NL,5.5,584,97,168,28,2,18,81,150,0.288,0.359,0.435,0.794,121,0.355,123,254,*4/H6,turanbr02
35,Eugenio Suárez,33,2TM,2LG,3.6,588,91,134,28,0,49,118,196,0.228,0.298,0.526,0.824,126,0.354,127,309,*5/D3H,suareeu01
35,Eugenio Suárez,33,ARI,NL,3.3,387,64,96,19,0,36,87,117,0.248,0.32,0.576,0.897,142,0.386,145,223,5/DH3,suareeu01
35,Eugenio Suárez,33,SEA,AL,0.3,201,27,38,9,0,13,31,79,0.189,0.255,0.428,0.682,94,0.289,89,86,5/3,suareeu01
36,Cody Bellinger*,29,NYY,AL,5,588,89,160,25,5,29,98,90,0.272,0.334,0.48,0.813,125,0.349,123,282,*798/3H,bellico01
37,Riley Greene*,24,DET,AL,2.1,600,84,155,31,1,36,111,201,0.258,0.313,0.493,0.806,120,0.343,118,296,*7D8/H9,greenri03
38,Jose Altuve,35,HOU,AL,0.5,588,80,156,24,1,26,77,109,0.265,0.329,0.442,0.771,112,0.331,110,260,4D7/H,altuvjo01
39,J.P. Crawford*,30,SEA,AL,3.7,570,69,151,24,0,12,58,122,0.265,0.352,0.37,0.722,111,0.322,113,211,*6/H,crawfjp01
40,Bryan Reynolds#,30,PIT,NL,1.4,587,68,144,38,3,16,73,173,0.245,0.318,0.402,0.72,99,0.319,99,236,*9D/H,reynobr01
41,Trevor Story,32,BOS,AL,3.8,612,91,161,29,0,25,96,176,0.263,0.308,0.433,0.741,104,0.333,105,265,*6/HD,storytr01
42,Junior Caminero,21,TBR,AL,4.5,602,93,159,28,0,45,110,125,0.264,0.311,0.535,0.846,131,0.366,136,322,*5/DH3,caminju01
43,Brandon Nimmo*,32,NYM,NL,2.9,587,81,154,27,0,25,92,141,0.262,0.324,0.436,0.76,114,0.335,113,256,*7/8DH,nimmobr01
44,Yandy Díaz,33,TBR,AL,3.4,583,79,175,29,1,25,83,92,0.3,0.366,0.482,0.848,136,0.364,136,281,*D3,diazya01
45,Gunnar Henderson*,24,BAL,AL,5.4,577,85,158,34,5,17,68,137,0.274,0.349,0.438,0.787,121,0.349,122,253,*6/DH,hendegu01
46,Seiya Suzuki,30,CHC,NL,2.6,571,75,140,31,3,32,103,164,0.245,0.326,0.478,0.804,130,0.348,129,273,D97/H8,suzukse01
47,Nico Hoerner,28,CHC,NL,6.1,599,89,178,29,4,7,61,49,0.297,0.345,0.394,0.739,114,0.338,118,236,*4/6,hoernni01
48,Jackson Holliday*,21,BAL,AL,1,586,70,142,21,3,17,55,140,0.242,0.314,0.375,0.69,95,0.305,97,220,*4/6DH,hollija01
49,Spencer Torkelson,25,DET,AL,2.3,563,82,135,27,1,31,78,169,0.24,0.333,0.456,0.789,117,0.339,116,257,*3D/H,torkesp01
50,Pete Crow-Armstrong*,23,CHC,NL,6,591,91,146,37,4,31,95,155,0.247,0.287,0.481,0.768,118,0.337,117,284,*8/HD,crowape01
51,Dansby Swanson,31,CHC,NL,4.5,590,84,144,24,3,24,77,168,0.244,0.3,0.417,0.717,105,0.323,108,246,*6,swansda01
52,Christian Yelich*,33,MIL,NL,3.1,573,88,151,21,0,29,103,167,0.264,0.343,0.452,0.795,121,0.35,121,259,*D7/H,yelicch01
53,Corbin Carroll*,24,ARI,NL,5.8,564,107,146,32,17,31,84,153,0.259,0.343,0.541,0.883,140,0.382,137,305,*9/8DH,carroco02
54,Michael Harris II*,24,ATL,NL,2.1,611,55,152,26,6,20,86,128,0.249,0.268,0.409,0.678,88,0.295,83,250,*8/H,harrimi04
55,Salvador Perez,35,KCR,AL,0.4,597,54,141,35,0,30,100,125,0.236,0.284,0.446,0.729,100,0.311,97,266,2D3,perezsa02
56,Christian Walker,34,HOU,AL,0.2,585,72,139,24,1,27,88,177,0.238,0.297,0.421,0.717,97,0.312,96,246,*3/DH,walkech02
57,Trea Turner,32,PHI,NL,5.5,589,94,179,31,7,15,69,107,0.304,0.355,0.457,0.812,121,0.368,124,269,*6/DH,turnetr01
58,CJ Abrams*,24,WSN,NL,3.3,580,92,149,35,5,19,60,125,0.257,0.315,0.433,0.748,111,0.338,111,251,*6/HD,abramcj01
59,Lawrence Butler*,24,ATH,AL,1.9,569,83,133,30,2,21,63,179,0.234,0.306,0.404,0.71,96,0.313,95,230,*98H,butlela01
60,Bo Bichette,27,TOR,AL,3.4,582,78,181,44,1,18,94,91,0.311,0.357,0.483,0.84,129,0.364,132,281,*6/DH,bichebo01
61,Gleyber Torres,28,DET,AL,2.9,532,79,136,22,0,16,74,101,0.256,0.358,0.387,0.745,108,0.336,113,206,*4D/H,torregl01
62,Freddie Freeman*,35,LAD,NL,3.5,556,81,164,39,2,24,90,128,0.295,0.367,0.502,0.869,141,0.376,141,279,*3/H,freemfr01
63,Andy Pages,24,LAD,NL,3.8,581,74,158,27,1,27,86,135,0.272,0.313,0.461,0.774,114,0.338,115,268,*897,pagesan01
64,Tyler Soderstrom*,23,ATH,AL,4.4,561,75,155,34,1,25,93,141,0.276,0.346,0.474,0.82,126,0.352,125,266,73H/D,soderty01
65,Xavier Edwards#,25,MIA,NL,3.2,561,75,159,20,5,3,43,88,0.283,0.343,0.353,0.695,94,0.317,93,198,46/HD,edwarxa01
66,Jung Hoo Lee*,26,SFG,NL,1.8,560,73,149,31,12,8,55,71,0.266,0.327,0.407,0.735,110,0.329,112,228,*8/HD,leeju01
67,Nathaniel Lowe*,29,2TM,2LG,0.1,540,64,123,23,3,18,84,159,0.228,0.307,0.381,0.689,94,0.304,93,206,*3/HD,lowena01
67,Nathaniel Lowe*,29,WSN,NL,-0.3,440,50,95,17,2,16,68,130,0.216,0.292,0.373,0.665,88,0.297,88,164,*3/DH,lowena01
67,Nathaniel Lowe*,29,BOS,AL,0.4,100,14,28,6,1,2,16,29,0.28,0.37,0.42,0.79,121,0.336,115,42,3/HD,lowena01
68,Josh Naylor*,28,2TM,2LG,3.1,543,81,160,29,1,20,92,83,0.295,0.353,0.462,0.816,128,0.365,128,251,*3D/H,naylojo01
68,Josh Naylor*,28,ARI,NL,0.8,349,49,102,19,1,11,59,49,0.292,0.36,0.447,0.807,123,0.356,122,156,3D/H,naylojo01
68,Josh Naylor*,28,SEA,AL,2.2,194,32,58,10,0,9,33,34,0.299,0.341,0.49,0.831,138,0.38,141,95,3/DH,naylojo01
69,Kyle Tucker*,28,CHC,NL,4.5,500,91,133,25,4,22,73,88,0.266,0.377,0.464,0.841,143,0.375,143,232,*9D/H,tuckeky01
70,Anthony Volpe,24,NYY,AL,1.7,539,65,114,32,4,19,72,150,0.212,0.272,0.391,0.663,83,0.287,80,211,*6/H,volpean01
71,Sal Frelick*,25,MIL,NL,3,528,76,152,20,3,12,63,80,0.288,0.351,0.405,0.756,111,0.335,110,214,*98/H35,frelisa01
72,Otto López,26,MIA,NL,3.5,544,66,134,21,0,15,77,82,0.246,0.305,0.368,0.672,86,0.307,89,200,*64/HD,lopezot01
73,Michael Busch*,27,CHC,NL,4.5,524,78,137,25,5,34,90,139,0.261,0.343,0.523,0.866,147,0.376,148,274,*3H/D,buschmi02
74,Marcell Ozuna,34,ATL,NL,1.6,487,61,113,19,0,21,68,144,0.232,0.355,0.4,0.756,113,0.342,118,195,*D/H,ozunama01
75,Nick Castellanos,33,PHI,NL,-1,547,72,137,27,2,17,72,133,0.25,0.294,0.4,0.694,88,0.309,87,219,*9/DH,casteni01
76,Jackson Chourio,21,MIL,NL,2.2,549,88,148,35,4,21,78,121,0.27,0.308,0.463,0.77,112,0.339,112,254,*879/D,chourja01
77,Jordan Beck,24,COL,NL,0.9,539,62,139,27,5,16,53,174,0.258,0.317,0.416,0.732,94,0.327,94,224,*7H/D8,beckjo01
78,Ernie Clement,29,TOR,AL,4.3,545,83,151,35,2,9,50,61,0.277,0.313,0.398,0.711,95,0.306,91,217,5463H,clemeer01
79,Ceddanne Rafaela,24,BOS,AL,4.8,546,84,136,34,4,16,63,117,0.249,0.295,0.414,0.708,95,0.309,92,226,*84/H,rafaece01
80,George Springer,35,TOR,AL,4.8,498,106,154,27,1,32,84,111,0.309,0.399,0.56,0.959,161,0.414,165,279,D978/H,springe01
81,Ryan McMahon*,30,2TM,2LG,2.2,509,62,109,23,1,20,53,189,0.214,0.312,0.381,0.693,87,0.305,83,194,*5/HD,mcmahry01
81,Ryan McMahon*,30,COL,NL,1.2,350,42,76,15,1,16,35,127,0.217,0.314,0.403,0.717,90,0.314,86,141,5/HD,mcmahry01
81,Ryan McMahon*,30,NYY,AL,1,159,20,33,8,0,4,18,62,0.208,0.308,0.333,0.641,81,0.287,79,53,5/H,mcmahry01
82,Agustín Ramírez,23,MIA,NL,-0.4,537,72,124,33,1,21,67,113,0.231,0.287,0.413,0.701,92,0.31,89,222,2D/H,ramirag01
83,Carlos Correa,30,2TM,AL,1.5,537,63,148,29,0,13,52,113,0.276,0.332,0.402,0.734,103,0.323,103,216,65/H,correca01
83,Carlos Correa,30,MIN,AL,0.1,337,40,90,19,0,7,31,68,0.267,0.319,0.386,0.704,94,0.308,91,130,6/H,correca01
83,Carlos Correa,30,HOU,AL,1.3,200,23,58,10,0,6,21,45,0.29,0.355,0.43,0.785,117,0.349,123,86,5/6,correca01
84,Lars Nootbaar*,27,STL,NL,1.3,509,68,119,24,1,13,48,119,0.234,0.325,0.361,0.686,95,0.303,94,184,*798/HD,nootbla01
85,Trent Grisham*,28,NYY,AL,3.5,494,87,116,9,1,34,74,137,0.235,0.348,0.464,0.811,125,0.363,135,229,*8/H,grishtr01
86,Bryce Harper*,32,PHI,NL,3.2,501,72,131,32,0,27,75,121,0.261,0.357,0.487,0.844,129,0.367,127,244,*3/D,harpebr03
87,Hunter Goodman,25,COL,NL,3.7,540,73,150,28,5,31,91,152,0.278,0.323,0.52,0.843,120,0.367,124,281,2D/H,goodmhu01
88,Matt McLain,25,CIN,NL,0,510,73,112,18,0,15,50,167,0.22,0.3,0.343,0.643,74,0.297,72,175,*4/6HD,mclaima01
89,Jo Adell,26,LAA,AL,1.2,526,63,124,18,1,37,98,151,0.236,0.293,0.485,0.778,111,0.335,112,255,*89/HD,adelljo01
90,Wyatt Langford,23,TEX,AL,5.6,489,73,118,25,1,22,62,151,0.241,0.344,0.431,0.775,127,0.342,130,211,*78/H,langfwy01
91,Ke'Bryan Hayes,28,2TM,NL,1.5,527,50,124,16,3,5,49,111,0.235,0.29,0.306,0.595,65,0.275,64,161,*5/H,hayeske01
91,Ke'Bryan Hayes,28,PIT,NL,1.2,369,34,87,10,2,2,36,81,0.236,0.279,0.29,0.569,59,0.264,57,107,5/H,hayeske01
91,Ke'Bryan Hayes,28,CIN,NL,0.3,158,16,37,6,1,3,13,30,0.234,0.315,0.342,0.656,78,0.299,79,54,5,hayeske01
92,Miguel Vargas,25,CHW,AL,1.8,504,80,118,32,2,16,60,100,0.234,0.316,0.401,0.717,100,0.315,98,202,53/DH7,vargami01
93,Spencer Steer,27,CIN,NL,0.6,509,66,121,21,2,21,75,129,0.238,0.312,0.411,0.723,94,0.321,93,209,*3D7/H9,steersp01
94,Yainer Diaz,26,HOU,AL,2.7,542,56,139,25,1,20,70,95,0.256,0.284,0.417,0.701,92,0.309,94,226,*2D/H,diazya02
95,Jonathan India,28,KCR,AL,0.4,497,63,116,29,0,9,45,106,0.233,0.323,0.346,0.669,89,0.299,91,172,4D75/H,indiajo01
96,Trevor Larnach*,28,MIN,AL,0.1,503,62,126,24,1,17,60,122,0.25,0.323,0.404,0.727,99,0.323,103,203,D97H,larnatr01
97,Nolan Schanuel*,23,LAA,AL,1.3,488,64,129,23,1,12,53,71,0.264,0.353,0.389,0.742,107,0.329,108,190,*3,schanno01
98,Willson Contreras,33,STL,NL,2.6,490,70,126,31,1,20,80,142,0.257,0.344,0.447,0.791,122,0.349,123,219,*3D,contrwi01
99,Josh Smith*,27,TEX,AL,3,495,70,124,23,2,10,35,100,0.251,0.335,0.366,0.7,107,0.318,113,181,653HD/7948,smithjo11
100,Bryson Stott*,27,PHI,NL,2.1,499,66,128,22,3,13,66,91,0.257,0.328,0.391,0.719,96,0.324,95,195,*46H,stottbr01
101,Mike Yastrzemski*,34,2TM,2LG,2.7,477,68,111,28,1,17,46,108,0.233,0.333,0.403,0.735,109,0.328,111,192,*9H8/7D1,yastrmi01
101,Mike Yastrzemski*,34,SFG,NL,1.7,321,38,74,14,1,8,28,86,0.231,0.33,0.355,0.685,97,0.314,102,114,9/H1,yastrmi01
101,Mike Yastrzemski*,34,KCR,AL,1,156,30,37,14,0,9,18,22,0.237,0.339,0.5,0.839,131,0.354,128,78,98/7HD,yastrmi01
102,Ketel Marte#,31,ARI,NL,4.4,480,87,136,28,0,28,72,83,0.283,0.376,0.517,0.893,145,0.381,142,248,4D/H,marteke01
103,Mike Trout,33,LAA,AL,1.5,456,73,106,14,1,26,64,178,0.232,0.359,0.439,0.797,121,0.341,117,200,D9/H,troutmi01
104,Zach Neto,24,LAA,AL,5.1,502,82,129,29,1,26,62,149,0.257,0.319,0.474,0.793,117,0.341,115,238,*6/H,netoza01
105,Brandon Lowe*,30,TBR,AL,1.8,507,79,130,19,0,31,83,149,0.256,0.307,0.477,0.785,116,0.337,117,242,*4/DH3,lowebr01
106,Xander Bogaerts,32,SDP,NL,2,491,63,129,30,0,11,53,94,0.263,0.328,0.391,0.72,99,0.32,94,192,*6/DH,bogaexa01
107,Andrew McCutchen,38,PIT,NL,0.1,477,51,114,22,0,13,57,118,0.239,0.333,0.367,0.7,95,0.311,94,175,*D/H97,mccutan01
108,J.T. Realmuto,34,PHI,NL,2.6,502,57,129,26,1,12,52,129,0.257,0.315,0.384,0.7,91,0.312,89,193,*2/DH,realmjt01
109,Adolis García,32,TEX,AL,2.7,507,58,115,28,0,19,75,135,0.227,0.271,0.394,0.665,93,0.291,94,200,*9/DH,garciad02
110,Alec Burleson*,26,STL,NL,1.8,497,54,144,26,2,18,69,79,0.29,0.343,0.459,0.801,125,0.352,126,228,379D/H1,burleal01
111,Lourdes Gurriel Jr.,31,ARI,NL,0.4,500,52,124,24,2,19,80,76,0.248,0.295,0.418,0.713,95,0.314,94,209,*7D/H,gurrilo01
112,Teoscar Hernández,32,LAD,NL,1.5,511,65,126,29,1,25,89,134,0.247,0.284,0.454,0.738,103,0.318,100,232,*9/H,hernate01
113,Gavin Sheets*,29,SDP,NL,0.7,492,57,124,28,1,19,71,107,0.252,0.317,0.429,0.746,105,0.326,103,211,7DH3,sheetga01
114,Oneil Cruz*,26,PIT,NL,0.3,471,62,94,18,3,20,61,174,0.2,0.298,0.378,0.676,87,0.312,85,178,*8H/D,cruzon01
115,Lenyn Sosa,25,CHW,AL,0.9,518,57,137,20,1,22,75,127,0.264,0.293,0.434,0.727,101,0.316,101,225,43D/H5,sosale01
116,Ryan O'Hearn*,31,2TM,2LG,2.4,474,67,133,21,1,17,63,109,0.281,0.366,0.437,0.803,125,0.352,126,207,3D9H/7,ohearry01
116,Ryan O'Hearn*,31,BAL,AL,2,311,45,88,15,1,13,43,63,0.283,0.374,0.463,0.837,136,0.362,136,144,3D9/H7,ohearry01
116,Ryan O'Hearn*,31,SDP,NL,0.5,163,22,45,6,0,4,20,46,0.276,0.35,0.387,0.736,105,0.332,107,63,3D/H9,ohearry01
117,Jeremy Peña,27,HOU,AL,5.6,493,68,150,30,2,17,62,93,0.304,0.363,0.477,0.84,132,0.368,132,235,*6/HD,penaje02
118,Byron Buxton,31,MIN,AL,4.9,488,97,129,21,7,35,83,148,0.264,0.327,0.551,0.878,136,0.383,139,269,*8/D,buxtoby01
119,Luis Rengifo#,28,LAA,AL,0.3,501,55,119,16,3,9,43,104,0.238,0.287,0.335,0.622,73,0.276,72,168,54H/9768D,rengilu01
120,Brenton Doyle,27,COL,NL,0.3,502,57,118,23,2,15,57,138,0.235,0.276,0.378,0.655,73,0.296,69,190,*8/HD,doylebr02
121,Masyn Winn,23,STL,NL,2.2,491,72,124,27,0,9,51,102,0.253,0.31,0.363,0.673,90,0.298,89,178,*6/H,winnma01
122,Matt Chapman,32,SFG,NL,4.1,454,76,105,23,2,21,61,126,0.231,0.34,0.43,0.77,120,0.341,122,195,*5,chapmma01
123,Paul Goldschmidt,37,NYY,AL,1.2,489,76,134,31,1,10,45,100,0.274,0.328,0.403,0.731,104,0.321,104,197,*3H/D8,goldspa01
124,Marcus Semien,34,TEX,AL,3.5,470,62,108,16,1,15,62,93,0.23,0.305,0.364,0.669,97,0.301,100,171,*4,semiema01
125,Josh Bell#,32,WSN,NL,0.5,468,54,112,17,1,22,63,88,0.239,0.326,0.421,0.747,111,0.327,112,197,D3H,belljo02
126,Jazz Chisholm Jr.*,27,NYY,AL,4.2,462,75,112,15,1,31,80,148,0.242,0.332,0.481,0.813,125,0.357,127,222,45/H,chishja01
127,Kyle Manzardo*,24,CLE,AL,0.4,470,47,110,19,2,27,70,135,0.234,0.313,0.455,0.768,110,0.331,109,214,D3H,manzaky01
128,Ben Rice*,26,NYY,AL,2.2,467,74,119,28,4,26,65,100,0.255,0.337,0.499,0.836,131,0.355,130,233,3D2H,ricebe01
129,Brooks Lee#,24,MIN,AL,-1,487,50,115,15,1,16,64,92,0.236,0.285,0.37,0.654,79,0.289,77,180,654H/D,leebr02
130,Luis García Jr.*,25,WSN,NL,0.4,488,67,123,28,1,16,66,84,0.252,0.289,0.412,0.701,97,0.31,96,201,*4H/3D,garcilu04
131,Jorge Polanco#,31,SEA,AL,2.6,471,64,125,30,0,26,78,82,0.265,0.326,0.495,0.821,134,0.348,134,233,D4H/53,polanjo01
132,Shea Langeliers,27,ATH,AL,3.9,481,73,133,32,0,31,72,103,0.277,0.325,0.536,0.861,134,0.363,131,258,2D/H,langesh01
133,Jacob Wilson,23,ATH,AL,2.9,486,62,151,26,0,13,63,39,0.311,0.355,0.444,0.8,121,0.354,127,216,*6/D,wilsoja05
134,Jake Cronenworth*,31,SDP,NL,2.4,419,61,103,20,1,11,59,107,0.246,0.367,0.377,0.744,108,0.339,114,158,*436/DH,croneja01
135,Brendan Donovan*,28,STL,NL,2.7,460,64,132,32,0,10,50,67,0.287,0.353,0.422,0.775,119,0.338,118,194,47/6DH,donovbr01
136,Eric Wagaman,27,MIA,NL,-0.4,476,56,119,28,3,9,53,100,0.25,0.296,0.378,0.674,86,0.303,86,180,*37HD/59,wagamer01
137,Josh Jung,27,TEX,AL,1.4,482,53,121,23,1,14,61,129,0.251,0.294,0.39,0.684,100,0.301,102,188,*5/DH,jungjo01
138,Zach McKinstry*,30,DET,AL,2.8,452,68,117,23,11,12,49,111,0.259,0.333,0.438,0.771,113,0.336,111,198,5697H/4D13,mckinza01
139,Caleb Durbin,25,MIL,NL,2.9,445,60,114,25,0,11,53,50,0.256,0.334,0.387,0.721,101,0.33,106,172,*54H/6,durbica01
140,Alejandro Kirk,26,TOR,AL,2.3,451,45,127,18,0,15,76,59,0.282,0.348,0.421,0.769,111,0.334,110,190,*2H/D,kirkal01
141,Joey Ortiz,26,MIL,NL,0.3,470,62,108,18,1,7,45,74,0.23,0.276,0.317,0.593,66,0.27,62,149,*6/H,ortizjo06
142,Chase Meidroth,23,CHW,AL,1.2,450,54,114,15,0,5,23,72,0.253,0.329,0.32,0.649,84,0.303,89,144,64/H,meidrch01
143,Alec Bohm,28,PHI,NL,1.3,464,53,133,18,3,11,59,82,0.287,0.331,0.409,0.741,102,0.334,105,190,53,bohmal01
144,Gavin Lux*,27,CIN,NL,-0.2,446,49,120,28,2,5,53,114,0.269,0.35,0.374,0.724,97,0.326,97,167,D74H/5,luxga01
145,Addison Barger*,25,TOR,AL,1.2,460,61,112,32,1,21,74,121,0.243,0.301,0.454,0.756,105,0.32,100,209,59H/D,bargead01
146,Harrison Bader,31,2TM,2LG,4.2,448,61,124,24,1,17,54,136,0.277,0.347,0.449,0.796,117,0.344,117,201,*87H/9,baderha01
146,Harrison Bader,31,MIN,AL,2.8,271,31,70,13,0,12,38,81,0.258,0.339,0.439,0.778,113,0.34,113,119,78H/9,baderha01
146,Harrison Bader,31,PHI,NL,1.4,177,30,54,11,1,5,16,55,0.305,0.361,0.463,0.824,124,0.351,122,82,8/H,baderha01
147,Cedric Mullins*,30,2TM,2LG,0.4,435,58,94,23,1,17,59,120,0.216,0.299,0.391,0.69,94,0.311,94,170,*8/HD,mullice01
147,Cedric Mullins*,30,BAL,AL,0,314,42,72,19,0,15,49,85,0.229,0.305,0.433,0.738,106,0.32,103,136,8/DH,mullice01
147,Cedric Mullins*,30,NYM,NL,0.3,121,16,22,4,1,2,10,35,0.182,0.284,0.281,0.565,62,0.287,71,34,8/H,mullice01
148,Jesús Sánchez*,27,2TM,2LG,1.3,451,61,107,21,4,14,48,110,0.237,0.304,0.395,0.699,92,0.312,91,178,*97H8/D,sanchje02
148,Jesús Sánchez*,27,MIA,NL,1.1,305,40,78,12,4,10,36,70,0.256,0.32,0.42,0.74,104,0.328,102,128,9H8/D7,sanchje02
148,Jesús Sánchez*,27,HOU,AL,0.2,146,21,29,9,0,4,12,40,0.199,0.269,0.342,0.611,69,0.277,68,50,79/HD,sanchje02
149,Alex Bregman,31,BOS,AL,3.5,433,64,118,28,0,18,62,70,0.273,0.36,0.462,0.821,128,0.357,130,200,*5/HD,bregmal01
150,Cam Smith,22,HOU,AL,1.9,441,55,104,21,3,9,51,137,0.236,0.312,0.358,0.671,87,0.304,88,158,*9H/D,smithca07
151,Ty France,30,2TM,AL,0.9,444,50,114,25,0,7,52,83,0.257,0.32,0.36,0.681,88,0.307,90,160,*3H/D4,francty01
151,Ty France,30,MIN,AL,0.7,350,41,88,19,0,6,44,63,0.251,0.32,0.357,0.678,87,0.309,91,125,3/H4,francty01
151,Ty France,30,TOR,AL,0.2,94,9,26,6,0,1,8,20,0.277,0.32,0.372,0.693,91,0.299,84,35,3H/D,francty01
152,Nick Kurtz*,22,ATH,AL,5.4,420,90,122,26,2,36,86,151,0.29,0.383,0.619,1.002,173,0.418,174,260,*3/DH,kurtzni01
153,Ramón Laureano,30,2TM,2LG,3.8,441,72,124,26,2,24,76,119,0.281,0.342,0.512,0.855,136,0.363,134,226,*798/DH,laurera01
